Inventory ,,,,,,,,,,,,,,,,,,
System Name,IP Address,System Status,Product Type,Product SubType,Product ID,Product Model,Serial Number,Serial Number (Logical),Asset Tag,Memory Size (KB),ROM Version,Operating System Name,Operating System Vendor,Server Role,Location,System Owner,System Boot Up Time,Number Of CPU
dg-esxi-014,10.77.150.244,Critical,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8V2,,not set,,,VMware ESXi 5.0.0 build-515841,VMware,,,not set,"Thursday, 1/15/2015, 9:33 AM CST",24
dg-esxi-015,10.77.150.245,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8V3,,not set,,,VMware ESXi 5.0.0 build-515841,VMware,,,not set,"Friday, 8/7/2015, 2:45 AM CDT",24
dg-esxi-016,10.77.150.249,Major,Server,VMware ESX Host,603718-B21,ProLiant BL460c G7,USE147L8TT,,not set,,,VMware ESXi 5.0.0 build-515841,VMware,,,not set,"Thursday, 1/15/2015, 4:37 PM CST",24
dg-esxi-016_webapps101.qa.cccis.com-ORIG,,Unknown,Server,Virtual Machine Guest,,,,,,,,Other 2.6.x Linux (64-bit),,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
HP BladeSystem Rack ,,,,,,,,,,,,,,,,,,
System Name,Rack Name,Enclosure Name,Serial Number,Model,Type,Bay,,,,,,,,,,,,
dg-enc05,BU40,,USE147L8TR,BladeSystem c7000 Enclosure G2,Enclosure,None found,,,,,,,,,,,,
dg-enc05-oa1,BU40,dg-enc05,OB18BP2064,BladeSystem c7000 DDR2 Onboard Administrator with KVM,Management Processor,1,,,,,,,,,,,,
dg-enc05-oa2,BU40,dg-enc05,OB1ABP0332,HP Onboard Administrator,Management Processor,2,,,,,,,,,,,,
dg-enc05-vc1,BU40,dg-enc05,TW21440038,HP VC FlexFabric 10Gb/24-Port Module,Switch,1,,,,,,,,,,,,
dg-enc05-vc2,BU40,dg-enc05,TW2144003F,HP VC FlexFabric 10Gb/24-Port Module,Switch,2,,,,,,,,,,,,
dg-enc05-vc3,BU40,dg-enc05,TW21430094,HP VC FlexFabric 10Gb/24-Port Module,Switch,3,,,,,,,,,,,,
dg-enc05-vc4,BU40,dg-enc05,3C432700PS,HP VC FlexFabric 10Gb/24-Port Module,Switch,4,,,,,,,,,,,,
dg-esxi-001,BU40,dg-enc05,USE147L8V8,ProLiant BL460c G7,Server,1,,,,,,,,,,,,
dg-esxi-002,BU40,dg-enc05,USE147L8V1,ProLiant BL460c G7,Server,2,,,,,,,,,,,,
dg-esxi-003,BU40,dg-enc05,USE147L8V7,ProLiant BL460c G7,Server,3,,,,,,,,,,,,
dg-esxi-004,BU40,dg-enc05,USE147L8TV,ProLiant BL460c G7,Server,4,,,,,,,,,,,,
dg-esxi-005,BU40,dg-enc05,USE147L8V6,ProLiant BL460c G7,Server,5,,,,,,,,,,,,
dg-esxi-006,BU40,dg-enc05,USE147L8V9,ProLiant BL460c G7,Server,6,,,,,,,,,,,,
dg-esxi-007,BU40,dg-enc05,USE147L8TW,ProLiant BL460c G7,Server,7,,,,,,,,,,,,
dg-esxi-008,BU40,dg-enc05,USE147L8TY,ProLiant BL460c G7,Server,8,,,,,,,,,,,,
dg-esxi-010,BU40,dg-enc05,USE147L8TS,ProLiant BL460c G7,Server,10,,,,,,,,,,,,
dg-esxi-012,BU40,dg-enc05,USE147L8V0,ProLiant BL460c G7,Server,12,,,,,,,,,,,,
dg-esxi-013,BU40,dg-enc05,USE147L8V4,ProLiant BL460c G7,Server,13,,,,,,,,,,,,
dg-esxi-014,BU40,dg-enc05,USE147L8V2,ProLiant BL460c G7,Server,14,,,,,,,,,,,,
dg-esxi-015,BU40,dg-enc05,USE147L8V3,ProLiant BL460c G7,Server,15,,,,,,,,,,,,
dg-esxi-016,BU40,dg-enc05,USE147L8TT,ProLiant BL460c G7,Server,16,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Network Interface ,,,,,,,,,,,,,,,,,,
System Name,Description,Mac Address,IP Address,Input Errors,Output Errors,Speed,Duplex,Interface Name,Subnet Mask,Broadcast Address,Interface State,DHCP Enabled,Protocol Type,Operational Status,Port Type,Max Data Size,,
dg-enc05-oa1.win.cccis.com,lo,,172.20.0.213,0,0,10.0 Mbps,,,255.0.0.0,,,,,,,,,
dg-enc05-oa1.win.cccis.com,teql0,,172.20.0.213,0,0,0.0 bps,,,,,,,,,,,,
dg-enc05-oa1.win.cccis.com,sit0,,172.20.0.213,0,0,0.0 bps,,,,,,,,,,,,
dg-enc05-oa1.win.cccis.com,ip6tnl0,,172.20.0.213,0,0,0.0 bps,,,,,,,,,,,,
dg-enc05-oa1.win.cccis.com,elinkbr,9c:8e:99:18:43:af,,0,0,10.0 Mbps,,,255.255.0.0,,,,,,,,,
dg-enc05-oa1.win.cccis.com,eth3,9c:8e:99:18:43:af,,0,0,10.0 Mbps,,,,,,,,,,,,
dg-enc05-oa1.win.cccis.com,eth2,9c:8e:99:18:53:d5,,0,0,10.0 Mbps,,,,,,,,,,,,
dg-enc05-oa1.win.cccis.com,eth0,9c:8e:99:2a:19:1e,,0,0,1.0 Gbps,,,255.255.255.0,,,,,,,,,
dg-enc05-oa1.win.cccis.com,eth1,9c:8e:99:2a:19:1f,,0,0,1.0 Gbps,,,255.255.254.0,,,,,,,,,
dg-enc05-oa1.win.cccis.com,udogbr,9c:8e:99:2a:19:1f,,0,0,10.0 Mbps,,,,,,,,,,,,
dg-enc05-oa2.win.cccis.com,teql0,,172.20.0.214,0,0,0.0 bps,,,,,,,,,,,,
dg-enc05-oa2.win.cccis.com,sit0,,172.20.0.214,0,0,0.0 bps,,,,,,,,,,,,
dg-enc05-oa2.win.cccis.com,ip6tnl0,,172.20.0.214,0,0,0.0 bps,,,,,,,,,,,,
dg-enc05-oa2.win.cccis.com,lo,,172.20.0.214,0,0,10.0 Mbps,,,255.0.0.0,,,,,,,,,
dg-enc05-oa2.win.cccis.com,eth3,9c:8e:99:18:43:af,,0,0,10.0 Mbps,,,,,,,,,,,,
dg-enc05-oa2.win.cccis.com,elinkbr,9c:8e:99:18:43:af,,0,0,10.0 Mbps,,,255.255.0.0,,,,,,,,,
dg-enc05-oa2.win.cccis.com,eth2,9c:8e:99:18:53:d5,,0,0,10.0 Mbps,,,,,,,,,,,,
